"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0R480","2020-04-19 00:00:00","57.000","43.000","1.100","25.600","0.840","1006.500","","0.000","-99.000","-99.000","-99.000","32.400","","20.900",""
"C0X300","2020-04-19 00:00:00","70.000","61.000","0.600","23.100","0.920","1005.600","","0.000","-99.000","-99.000","-99.000","32.200","","18.500",""
"C0U970","2020-04-19 00:00:00","7.000","0.000","0.000","24.000","0.810","1014.300","","0.000","-99.000","-99.000","-99.000","28.000","","19.600",""
"C0SA90","2020-04-19 00:00:00","497.000","336.000","0.300","22.000","0.980","958.300","","0.000","-99.000","-99.000","-99.000","26.500","","20.200",""
"C0R750","2020-04-19 00:00:00","551.000","103.000","5.300","22.400","1.000","952.500","","0.000","-99.000","-99.000","-99.000","28.000","","20.100",""
"C0R340","2020-04-19 00:00:00","230.000","19.000","0.400","23.200","0.980","987.700","","0.000","-99.000","-99.000","-99.000","30.700","","21.000",""
"C0M750","2020-04-19 00:00:00","10.000","52.000","1.100","25.800","0.800","1012.400","","0.000","-99.000","-99.000","-99.000","28.800","","21.500",""
"C0I110","2020-04-19 00:00:00","161.000","0.000","0.100","24.700","0.820","996.500","","0.000","-99.000","-99.000","-99.000","31.700","","20.000",""
"C0V370","2020-04-19 00:00:00","74.000","0.000","0.000","24.100","0.960","1006.000","","0.000","-99.000","-99.000","-99.000","33.100","","18.500",""
"C0C690","2020-04-19 00:00:00","242.000","155.000","0.800","22.000","0.790","986.200","","0.000","-99.000","-99.000","-99.000","26.300","","19.400",""
"C0A540","2020-04-19 00:00:00","401.000","0.000","0.000","19.800","0.970","968.300","","0.000","-99.000","-99.000","-99.000","27.100","","15.400",""
"C0SA60","2020-04-19 00:00:00","6.000","293.000","0.800","23.900","0.910","1013.300","","0.000","-99.000","-99.000","-99.000","30.300","","22.300",""
"C0H950","2020-04-19 00:00:00","192.000","0.000","0.000","21.800","0.930","992.600","","0.000","-99.000","-99.000","-99.000","30.400","","17.500",""
"C0O960","2020-04-19 00:00:00","112.000","0.000","0.000","24.500","0.890","1000.000","","0.000","-99.000","-99.000","-99.000","32.400","","20.100",""
"C0E880","2020-04-19 00:00:00","507.000","224.000","1.300","22.100","0.950","957.100","","0.000","-99.000","-99.000","-99.000","25.600","","19.700",""
"C0AH10","2020-04-19 00:00:00","30.000","155.000","1.100","23.500","1.000","1009.900","","0.000","-99.000","-99.000","-99.000","29.700","","20.700",""
"C0R820","2020-04-19 00:00:00","588.000","83.000","0.500","21.500","0.790","949.600","","0.000","-99.000","-99.000","-99.000","32.200","","18.400",""
"C0R680","2020-04-19 00:00:00","13.000","97.000","2.500","26.800","0.910","1013.000","","0.000","-99.000","-99.000","-99.000","29.400","","24.300",""
"C0X210","2020-04-19 00:00:00","38.000","140.000","0.600","24.800","0.860","1007.700","","0.000","-99.000","-99.000","-99.000","31.700","","19.700",""
"C0D430","2020-04-19 00:00:00","87.000","0.000","0.000","22.100","0.970","1002.800","","0.000","-99.000","-99.000","-99.000","28.900","","16.100",""
"C0AD30","2020-04-19 00:00:00","20.000","174.000","1.500","24.400","0.760","1009.700","","0.000","-99.000","-99.000","-99.000","28.600","","21.000",""
